Ticker,Asset_Type,Buy_Price,Shares,Buy_Date,Sell_Qty,Sell_Price,Sell_Date
GVPIL,Equity,1,1,,,,
INTERARCH,Equity,1,1,,,,
ENRIN,Equity,1,1,,,,
VoltAmp,Equity,1,1,,,,
Expleosol,Equity,1,1,,,,
Venus Remedies,Equity,1,1,,,,
AIA ENGINEERING,Equity,1,1,,,,
WOCKPHARMA,Equity,1,1,,,,
SCHNEIDER,Equity,1,1,,,,
MUTHOOTFIN,Equity,1,1,,,,
ABB,Equity,1,1,,,,
DRREDDY,Equity,1,1,,,,
OFSS,Equity,1,1,,,,
BAJFINANCE,Equity,1,1,,,,
CROMPTON,Equity,1,1,,,,
GVPIL,Equity,1,1,,,,
INTERARCH,Equity,1,1,,,,
ENRIN,Equity,1,1,,,,
VoltAmp,Equity,1,1,,,,
Expleosol,Equity,1,1,,,,
Venus Remedies,Equity,1,1,,,,
AIA ENGINEERING,Equity,1,1,,,,
WOCKPHARMA,Equity,1,1,,,,
SCHNEIDER,Equity,1,1,,,,
MUTHOOTFIN,Equity,1,1,,,,
ABB,Equity,1,1,,,,
DRREDDY,Equity,1,1,,,,
OFSS,Equity,1,1,,,,
BAJFINANCE,Equity,1,1,,,,
CROMPTON,Equity,1,1,,,,
